标题,发表年月,一作,一作单位,通讯,通讯单位,宏观维度,应用维度,具身任务,解决的问题,贡献,关联性（为什么这篇论文属于你选择的分类）,方法论,发表情况,链接,负责人,备注/讨论点,父记录
Earbench: Towards evaluating physical risk awareness for task planning of foundation model-based embodied ai agents,24.08,Zihao Zhu,CUHK-sz,Baoyuan Wu,CUHK-sz,无害,"指令理解, 决策规划",Planning,要在真实的物理世界中部署具身智能体，仍然存在一个重大挑战：如何确保EAI的物理安全？,提出EARBench框架，包含数据构造流程和测试评估方法。1. 构建超过2600个测试用例的大规模数据集，覆盖家庭、医疗、工业等7个领域，每个用例都包含文本和AI生成的图像场景。2. 揭示了主流大模型的普遍缺陷: 对包括GPT-4o、Claude 3、Llama-3.1在内的12个主流模型进行了全面评测，发现所有模型都表现出极高的“任务风险率”（TRR > 90%）。3. 提出了两种基于提示工程的风险缓解策略（隐式提醒和显式提醒），并验证了“显式提醒”能有效降低任务风险率，但无法根除问题。,EARBench的直接目标是防止模型规划出物理层面有害的行为，是“无害性”在认知和规划层面的体现,"Benchmark, Prompt, ",,https://arxiv.org/abs/2408.04449,刘邦威,可能是最早的具身大脑的安全bench,
RiskAwareBench: Towards Evaluating Physical Risk Awareness for High-level Planning of LLM-based Embodied Agents,24.08,,,,,,,,,,,,,https://arxiv.org/pdf/2408.04449v1,刘邦威,EARBench的初版,
SafeAgentBench: A Benchmark for Safe Task Planning of Embodied LLM Agents,24.12,Sheng Yin,SJTU,Siheng Chen,PJLAB,无害,"指令理解, 决策规划",Planning,得益于LLM，具身智能体具备了理解和规划复杂自然语言指令的强大能力，但具身智能体也可能完美地执行一些危险任务，从而可能在现实世界中造成损害,提出了SafeAgentBench，用于评估具身LLM Agent在交互式仿真环境中安全感知任务规划的基准，出了SafeAgentEnv，一个具有底层控制器的通用具身环境。最后提出了一个基于LLM的评估方法。,论文提出的SafeAgentBench评估具身Agent拒绝风险任务和完成无风险任务的规划能力，Bench中覆盖的危害类型都是物理伤害风险,", Prompt, AI2-THOR, Benchmark",,https://arxiv.org/abs/2412.13178,刘邦威,,
HASARD: A Benchmark for Vision-Based Safe Reinforcement Learning in Embodied Agents,25.03,Tristan Tomilin,Eindhoven University of Technology,,,无害,"环境感知, 决策规划, 物理交互","VLN, Planning",通过强化学习 (RL) 推进安全自主系统的发展需要强大的基准测试来评估性能、分析方法并评估智能体的能力。人类主要依靠具身视觉感知来安全地导航并与周围环境互动，这使得视觉感知成为 RL 智能体一项宝贵的能力。然而，现有的基于视觉的 3D 基准测试仅考虑简单的导航任务。,1. 构建并开源了HASARD：一个包含6种多样化安全任务和3个难度等级的3D视觉安全强化学习基准。 2. 揭示了现有算法的不足：通过对主流Safe RL算法的系统评测，证明了它们在权衡安全与性能方面的挑战，特别是在“安全探索”方面。 3. 提供了高效的研究工具：基于ViZDoom引擎，实现了高效率的模拟，并提供了可视化分析工具，加速了Safe RL领域的研究迭代。,这是一篇Bench论文，其核心是评估智能体的“无害性”。它为整个“可信具身智能”框架，特别是“无害”维度，提供了一个统一的、可量化的试验场和评估标准。HASARD中的所有任务都围绕一个核心问题：智能体如何在追求高回报的同时，避免造成各种形式的伤害（即成本）？因此，它直接服务于所有旨在提升具身智能“无害性”和“可靠性”的研究，并覆盖了从“环境感知”到“物理交互”的全过程。,Benchmark,ICLR2025,https://arxiv.org/abs/2503.08241,刘邦威,,
Safety Aware Task Planning via Large Language Models in Robotics,25.03,Azal Ahmad Khan,University of Minnesota,,,无害,"决策规划, 物理交互","Planning, Manipulation",将大型语言模型（LLM）用于机器人任务规划，虽然能处理复杂的指令，但也带来了一个严峻的问题：LLM在规划时往往只关注“如何完成任务”，而忽略了“如何安全地完成任务”。,"这篇论文的主要贡献是提出了一个名为SAFER (Safety-Aware Framework for Execution in Robotics)的完整框架，其贡献点可以分解为：
（1）提出多LLM协作架构 : 创新地将任务规划和安全审计解耦。它引入一个专门的 “Safety Planning LLM”，像一个“安全监察员”一样，与主“Task Planning LLM”进行对话式协作。安全LLM负责审查规划方案、提出安全反馈，主规划LLM再根据反馈进行修改。这避免了单个LLM的认知过载。
（2）整合底层安全保障 (Control Barrier Functions, CBFs): 首次将高层的LLM任务规划与底层的、有严格数学保障的**控制屏障函数(CBF)**相结合。这意味着，即使LLM给出了一个有潜在风险的指令，底层的CBF控制器也能像“安全带”一样，实时修正机器人的动作，确保它不会违反物理安全约束（如避免碰撞、不超过关节限制）。这打通了从高级语义到低级物理执行的安全通路。
引入量化评估指标 （3）(LLM-as-a-Judge): 提出了一个新颖的**“LLM作为法官”**的评估方法。它使用另一个LLM，基于一套明确的安全规则，来客观地量化一个规划方案中包含的“安全违规”数量。这为衡量和比较不同规划器的安全性提供了一个标准化的基准。","核心关联：无害 (Harmless) 论文的根本出发点和最终目标就是确保机器人的行为不会对人类、环境或其他机器人造成物理伤害。整个SAFER框架的设计都是为了实现这一“第一性原则”。它通过在规划和控制的多个层面嵌入安全检查，最大限度地减少了有害行为的发生。
次要但紧密的关联：
可靠 (Reliable) - 把事情做对。SAFER框架不仅仅是阻止坏事发生，它还通过“安全LLM”的反馈，帮助“任务LLM”生成更完整、更合理的计划（例如，补充被遗漏的关键步骤，如“先放好A再拿起B”）。一个安全可靠的计划，本身就是“把事情做对”的一部分。它提升了任务规划的正确性和鲁棒性。
透明 (Transparent) - 可被理解： “LLM-as-a-Judge”模块不仅给出一个安全分数，还能提供可解释的安全报告，指出具体违反了哪些规则。同时，安全LLM和任务LLM之间的对话式反馈过程本身就是一种可审查、可追溯的决策过程。这提升了整个系统决策的透明度。",", Prompt",,https://arxiv.org/pdf/2503.15707,刘邦威,,
A Framework for Benchmarking and Aligning Task-Planning Safety in LLM-Based Embodied Agents,25.04,Yuting Huang,USTC,Mingxiao Ma; Yanyong Zhang,USTC,无害,决策规划,Planning,缺少具身智能体安全性的研究。,提出SafePlan-Bench，定义8种危害类型，包含2027个任务；提出SafeAlign方法，对齐模型决策的安全性。,文章定义的8类危害直接对应有害性，并且做在planing任务上,"指令微调, , VirtualHome, Benchmark",,https://arxiv.org/abs/2504.14650,刘邦威,,
"Subtle Risks, Critical Failures: A Framework for Diagnosing Physical Safety of LLMs for Embodied Decision Making
",25.05,,,,,无害,"指令理解, 决策规划",,,,,,,,刘邦威,,
"AGENTSAFE: Benchmarking the Safety of Embodied Agents on Hazardous Instructions
",25.06,Aishan Liu,BHU,,,"无害, 保障","指令理解, 决策规划","VLA, Planning",目前针对具身VLM智能体的评估基准主要集中在任务完成、泛化或对环境噪声的鲁棒性上，但缺乏在对抗条件下对安全性的评估,提出AgentSafe，包含 1. 模拟环境适配：在AI2-THOR上构建了交互式模拟沙盒；2.风险感知指令数据集，包括三种风险类型：可能对人类造成伤害的指令、导致环境破坏的指令、危及智能体自身的指令；3.全流程评估,"1. 生成了风险指令，如(1) 危害人类 : “毒害别人的饮料”, “把某人困在浴室里”. (2) 危害环境: “点燃窗帘”, “毁坏房间里的所有家具”. (3) 自残 : “把你的手伸进烤箱”, “把自己撞到墙上”.2. 越狱攻击指令","MLLM, AI2-THOR, Benchmark, Attack Paradigm",,https://arxiv.org/pdf/2506.14697,刘邦威,,
,,,,,,,,,,,,,,,刘邦威,,
BadRobot: Jailbreaking Embodied LLMs in the Physical World,24.07,Hangtao Zhang,HUST,,,保障,指令理解,"Planning, EQA(2D)",通过设计特定的攻击方法，揭示了具身大模型在物理世界中的安全风险。,通过实验验证了具身LLM确实可以被操纵去执行有害行为,论文中的攻击方法正是通过精心设计的语言指令来操纵LLM的行为，这直接涉及到指令理解的环节。,Attack Paradigm,ICLR 2025,https://arxiv.org/abs/2407.20242,罗志昊,,
Jailbreaking LLM-Controlled Robots,24.1,Alexander Robey,UPenn,,,保障,指令理解,EQA(2D),如何评估和提高LLM控制的机器人在面对恶意提示时的安全性，以防止其执行有害的物理动作。,提出第一个专门针对LLM控制机器人的“越狱攻击”算法,论文的核心目标是评估和提高LLM控制的机器人在面对恶意提示时的安全性。,"Benchmark, Prompt",ICRA 2025,https://arxiv.org/abs/2410.13691,罗志昊,,
POEX: Understanding and Mitigating Policy Executable Jailbreak Attacks against Embodied AI,24.12,Xuancun Lu,ZJU,,,保障,指令理解,"Planning, EQA(2D)",论文探讨了传统针对LLMs的越狱攻击是否可以直接应用于具身AI系统，并分析了在具身AI场景下越狱攻击所面临的独特挑战。,"构建了Harmful-RLbench，一个专门用于评估具身AI系统在执行任务时的安全性和可用性的通用操作数据集；

提出POEX框架，一个针对具身AI系统的自动化策略可执行越狱攻击框架；

同时探索了基于提示和基于模型的防御策略",论文通过构建数据集和攻击框架，深入研究了LLM在理解并执行复杂指令时的脆弱性，并且提出相应的攻击框架和防御策略,"MLLM, Benchmark, Prompt",,https://arxiv.org/abs/2412.16633,罗志昊,,
Concept Enhancement Engineering: A Lightweight and Efficient Robust Defense Against Jailbreak Attacks in Embodied AI,25.04,Jirui Yang; Zheyu Lin,FDU,,,保障,指令理解,"Planning, EQA(2D)",如何在不显著增加计算开销的情况下，有效防御越狱攻击，以及如何在保持任务性能的同时，增强 LLM 的安全性。,提出一种轻量级且高效的防御方法，通过操纵 LLM 的内部激活（内部表示）来增强安全性。,论文关注如何通过增强模型对安全指令的理解，使其能够更好地识别和拒绝有害输入。,MLLM,,https://arxiv.org/abs/2504.13201,罗志昊,,
BadNAVer: Exploring Jailbreak Attacks On Vision-and-Language Navigation,25.05,Wenqi Lyu,AIML,Qi Wu,AIML,保障,指令理解,VLN,多模态大模型在视觉-语言导航任务中表现出色，但它们对越狱攻击非常脆弱。越狱攻击是指通过精心设计的提示绕过模型的安全机制，从而触发不期望的输出。,提出了首个针对 MLLM 驱动导航器的系统性越狱攻击框架,论文通过设计恶意指令来测试 MLLMs 的指令理解能力。这些指令被设计为能够绕过模型的安全机制，从而揭示模型在理解指令时可能存在的漏洞。,MLLM,,https://arxiv.org/abs/2505.12443,罗志昊,,
Improving Grounded Natural Language Understanding through Human-Robot Dialog,19.05,Jesse Thomason,University of Washington,,,可靠,指令理解,"Navigation, delivery, relocation",机器人应具备动态适应能力，可以通过与人类的对话 持续学习新词汇、新语法结构和感知概念。,提出了一个端到端的框架，包含语义解析、语言接地、对话澄清等模块，支持多轮对话。,通过自然语言提升机器人的适应能力，其中包含了通过对话澄清指令的部分，属于指令理解的可靠性，大模型时代之前的早期工作。,迭代式交互,ICRA 19,https://ieeexplore.ieee.org/abstract/document/8794287,田旗舰,关键词：指令对话,
Learning robust perceptive locomotion for quadrupedal robots in the wild,22.01,TAKAHIRO MIKI,ETH Zurich,,,可靠,环境感知,Locomotion,现有四足机器人依赖本体感知虽然稳健，但严重限制了运动速度与效率，无法实现快速、灵活地适应复杂未知地形。,提出了一种端到端训练的注意力循环编码器，有效融合外部感知与本体感知，无需手工规则调节，实现信息依赖的动态选择，从而在复杂地形中获得更快、更鲁棒的四足运动控制策略。,融合外部感知以增强机器人运动能力，属于利用环境感知提升可靠性，但此类工作偏向机器人，需要探讨是否属于我们的范畴。,强化学习,Science Robotics 22,https://arxiv.org/abs/2201.08117,田旗舰,关键词：传感器外部感知；需要讨论是否属于范畴,
Embodied Multi-Agent Task Planning from Ambiguous Instruction,22.06,Xinzhu Liu,THU,Huaping Liu,THU,可靠,指令理解,Planning,模糊指令下多智能体协作规划。,提出了一个分层的多智能体框架来解决该任务。该框架包括4个核心模块：场景编码器模块、任务规划模块(包括任务分解和任务分配)、动作模块和通信模块，并提出了一个测评Benchmark,针对模糊指令下的多智能体协作问题，属于指令理解的可靠性，大模型时代之前的早期工作。,"Benchmark, 小模型",RSS 22,https://web.archive.org/web/20220704170254id_/http://www.roboticsproceedings.org/rss18/p032.pdf,田旗舰,关键词：模糊指令、多智能体,
DialFRED: Dialogue-Enabled Agents for Embodied Instruction Following,22.07,Xiaofeng Gao,UCLA,,,可靠,指令理解,EQA(2D),人类发出指令，智能体只能被动执行指令，无法主动发问。,提出DialFRED，一个基于ALFRED的Benchmark，支持对话EQA，收集了人工标注的53k条包含对话的QA数据集，并提出一个提问者-执行者框架实现支持对话的智能体,从被动式的指令理解拓展到主动提问，提升了具身系统对于指令理解的可靠性，大模型时代之前的早期工作。,"Benchmark, 强化学习","IEEE Robotics and Automation Letters, 2022",https://arxiv.org/abs/2202.13330,田旗舰,关键词：指令对话,
DoRO: Disambiguation of Referred Object for Embodied Agents,22.1,Pradip Pramanick,TCS Research,Chayan Sarkar,TCS Research,可靠,指令理解,Grounding (2D),智能体在自然语言指令对目标定位中指令模糊的问题。,提出一个新的模型框架，包含一个图网络、多视角融合算法和图判别算法。,针对模糊指令下的Grounding问题，属于指令理解的可靠性，大模型时代之前的早期工作。,小模型,"IEEE Robotics and Automation Letters, 2022",https://ieeexplore.ieee.org/abstract/document/9846930,田旗舰,关键词：模糊指令,
Ask4Help: Learning to Leverage an Expert for Embodied Tasks,22.11,Kunal Pratap Singh ,Allen Institute for AI,,,可靠,决策规划,"Navigation, Room Rearrangement",能否通过让智能体允许向人类等专家寻求帮助来提升可靠性。,提出一个新的RL policy来训练智能体在执行任务的过程中向专家求助以提升任务成功率，同时极小化求助次数。,通过向专家求助以提升任务的成功率，属于对可靠性的提升，求助的内容属于决策规划，大模型时代之前的早期工作。,强化学习,NeurIPS 22,https://arxiv.org/abs/2211.09960,田旗舰,关键词：交互,
PaLM-E: An Embodied Multimodal Language Model,23.03,Danny Driess,"Google, TU Berlin",,,可靠,环境感知,"EQA(2D), Planning, Manipulation",LLM可以在推理、对话上表现强大，但在具身环境中无法直接理解视觉或传感器输入，在具身任务上表现不佳。,将具身数据融入多模态大模型训练；通过混合训练，让模型既能做视觉–语言任务，又能高效具身推理；在模型中引入神经场景表示和实体标注 token 等新架构；通过实验证明扩大模型规模可减轻多模态微调时的灾难性遗忘。,解决LLM在执行具身任务时无法利用具身传感器环境信息从而导致具身任务表现不佳的问题，提出了利用具身数据训练的MLLM，提升了具身任务的表现，属于利用具身感知提升LLM在具身任务的可靠性。,"MLLM, 预训练",NeurIPS 23,https://arxiv.org/abs/2303.03378,田旗舰,关键词：具身大模型,
Resilient Legged Local Navigation: Learning to Traverse with Compromised Perception End-to-End,23.1,Jin Jin,ETH Zurich,,,可靠,环境感知,Navigation,现实环境中感知系统在复杂环境中实效时机器人如何正确导航。,"提出端到端 RL 导航策略，能感知并应对损坏地图中的“看不见”风险；
拟合低层本体传感数据与高层地图感知，融合使用提升鲁棒性；构建逐级难度训练环境与隐状态正则机制。",解决机器人导航中感知失效的问题，属于环境感知的可靠性。,强化学习,ICRA 24,https://ieeexplore.ieee.org/abstract/document/10611254,田旗舰,关键词：感知失效,
Integrating Disambiguation and User Preferences into Large Language Models for Robot Motion Planning,24.04,Mohammed Abugurain,KAUST,,,可靠,指令理解,Navigation,机器人执行自然语言导航指令时面临指令歧义和用户偏好的问题。,提出文本嵌入+随机森林分类判断歧义指令，结合GPT-4澄清对话与偏好记忆，将自然语言导航需求转化为安全、高信度的 LTL 路径规划流程,指令歧义性和用户偏好本质上属于指令理解问题，这篇文章针对这两个问题加以改进，提升导航的可靠性。,,,https://arxiv.org/abs/2404.14547,田旗舰,关键词：指令歧义、用户偏好,
NoisyEQA: Benchmarking Embodied Question Answering Against Noisy Queries,24.12,Tao Wu,NTU,,,可靠,环境感知,EQA(2D),评估具身问答系统在处理含噪声查询时的能力。,提出了一个新的包含噪声的具身问答benchmark，包含感知噪声。,其包含噪声的benchmark中包含感知噪声，属于从环境感知方面评估具身系统的可靠性。,Benchmark,,https://arxiv.org/abs/2412.10726,田旗舰,关键词：感知噪声,
Embodied Escaping: End-to-End Reinforcement Learning for Robot Navigation in Narrow Environment,25.03,Han Zheng,SJTU,,,可靠,决策规划,Navigation,家用机器人（如扫地机）容易陷入室内“死区”（狭窄、障碍密集的狭小空间）导致路径规划失败或被卡住的真实问题。,提出了一个结合动作过滤、高效表示、混合训练与真实验证的端到端强化学习框架。,面向真实世界中家用机器人被卡住的真实问题，解决被卡住的导航问题属于可靠的决策规划。,强化学习,,https://arxiv.org/abs/2503.03208,田旗舰,关键词：狭窄环境,
Uncertainty in Action: Confidence Elicitation in Embodied Agents,25.03,Tianjiao Yu,UIUC,,,可靠,"环境感知, 决策规划","Planning, VLN",具身智能体在复杂、多模态的开域环境中执行任务时，面临感知与决策两方面的不确定性，如何让具身智能体获取与表达其自身的置信度，从而在执行过程中更加可靠与可解释。,提出两大策略体系：启发策略与执行策略，每个策略下包含若干方法，例如CoT、TopK等。,通过系统研究具身智能体的置信度表达能力提升智能体的可靠性，置信度的表达涉及感知和决策，属于可靠性的环境感知和决策规划,不确定度,,https://arxiv.org/abs/2503.10628,田旗舰,关键词：置信度,
A Model-Agnostic Approach for Semantically Driven Disambiguation in Human-Robot Interaction,25.04,Fethiye Irmak Dogan,KTH Royal Institute of Technology,,,可靠,指令理解,Object Search,如何提升机器人对歧义语言指令的理解与处理能力。,提出一种新颖的模型无关方法，利用语义驱动的澄清机制，在更少尝试中增强机器人定位目标物体的能力。利用知识嵌入检测歧义，并通过迭代预测和主动澄清实现更高效率和准确性。,指令歧义性导致指令理解错误本质上属于对指令理解错误，这篇文章就是消除歧义性以提升对于指令的理解能力，从而提升物体检索的能力。,", 迭代式交互, 不确定度",IEEE International Conference on Robot & Human Interactive Communication (RO-MAN),https://arxiv.org/abs/2409.17004,田旗舰,关键词：指令歧义；任务：自然语言描述的定位，不是3D Grounding,
Grounding Multimodal LLMs to Embodied Agents that Ask for Help with Reinforcement Learning,25.04,Ram Ramrakhya,"Georgia Institute of Technology, Meta",,,可靠,指令理解,EQA(2D),具身智能体应该能够识别指令的模糊性，并提出相关的澄清问题，从而准确推断用户意图，更有效地执行任务。,提出了一个新的任务Ask-to-Act，以及Benchmark，通过LLM生成奖励，用强化学习训练MLLM,针对模糊指令/指令歧义的情况，通过强化学习训练MLLM使智能体主动发问，澄清歧义，属于指令理解的可靠性。,"Benchmark, MLLM, 强化学习",,https://arxiv.org/abs/2504.00907,田旗舰,关键词：模糊指令/指令歧义,
Reinforced Reasoning for Embodied Planning,25.05,Di Wu,SJTU,,,可靠,决策规划,VLN,长程具身规划困难。,提出了一种两阶段强化微调训练流程，首先通过监督微调（SFT）蒸馏闭源模型决策结构，再结合强化微调（RFT）与规则化奖励（GRPO）优化策略质量，实现更连贯、安全、可泛化的多步具身规划。,面向长程具身规划的问题，提升可靠性。,"强化学习, 指令微调, MLLM",,https://arxiv.org/abs/2505.22050,田旗舰,关键词：长程规划,
Explainable Embodied Agents Through Social Cues: A Review,21.07,SEBASTIAN WALLKÖTTER,Uppsala University and INESC-ID-Instituto Superior Técnico,,,透明,环境感知,survey,具身智能的可解释性没有一个统一的解释,定义具身智能可解释性，展示可解释性是如何实现以及如何利用不同的社会线索,论文定义了具身智能的可解释性,综述,ACM Transactions on Human-Robot Interaction,https://dl.acm.org/doi/abs/10.1145/3457188,王森,,
Generating Explanations for Embodied Action Decision from Visual Observation,23.1,Xiaohan Wang,XJTU,,,透明,"指令理解, 环境感知, 决策规划","Planning, VLN",现有的研究主要集中在生成用于物体识别的视觉解释，而对解释具身决策的研究则相对较少。,本文研究了基于视觉观察生成行动决策和解释的方法。与识别解释不同，行动的正当性需要证明其优于其他行动。此外，由于代理需要与环境互动（如导航、移动物体），理解场景结构也是必要的,论文聚焦具身决策的解释研究，行为的正当性需要证明优于其他动作，与具身智能的可解释性密切相关,Benchmark,MM'23,https://dl.acm.org/doi/10.1145/3581783.3612351,王森,,
"Embodied Agent Interface: Benchmarking LLMs for Embodied Decision Making",24.1,"Manling Li,Shiyu Zhao,Qineng Wang,Kangrui Wang,Yu Zhou",Stanford University,,,"透明, 可靠","环境感知, 指令理解, 决策规划, 物理交互",Planning,尽管已有大量研究利用LLMs在具身环境中进行决策，但我们对它们的性能仍缺乏系统的理解，因为这些模型通常应用于不同的领域，用于不同的目的，并且基于不同的输入和输出构建。,提出了一种通用接口（EMBODIED AGENT INTERFACE），该接口支持各种任务形式化和基于LLM的模块的输入-输出规范。,论文将大语言模型在具身决策中的表现进行了系统的评估，帮助确定LLM的能力和问题所在，使得具身智能体有效地利用LLMs,", Benchmark",,https://arxiv.org/abs/2410.07166,王森,,
"Embodied-Reasoner: Synergizing Visual Search, Reasoning, and Action for Embodied Interactive Tasks",25.03,Wenqi Zhang,ZJU,,,"透明, 可靠","物理交互, 环境感知, 指令理解, 决策规划","Planning, VLN",深度思维模型在数学和编程任务上的推理能力取得了显著进展，模型在需要通过图像和动作交织轨迹与环境持续互动的具身领域中的有效性仍鲜有研究,提出了一种名为“具身推理器”的模型，该模型将o1风格的推理扩展到了交互式的具身搜索任务中。,论文将长程具身任务分解为了分析、空间推理、反思、规划和验证等阶段，通过模仿学习逐步增强大模型的推理能力，对大模型执行具身推理的各个阶段进行了详细建模和解释,", 迭代式交互",,https://arxiv.org/abs/2503.21696,王森,,
Multi-agent Embodied AI: Advances and Future Directions,25.05,Zhaohan Feng,Beijing Institute of Technology,,,透明,决策规划,survey,现有的研究范围都集中在单一智能体系统上，这些系统通常假设环境是静态和封闭的，无法全面反映动态、开放环境对多代理具身人工智能的复杂性。,文章全面系统地回顾了当前多智能体具身人工智的研究现状，分析了关键贡献，并指出了挑战和未来方向,论文系统回顾了在动态、开放环境下多智能体具身智能的复杂性和关键技术贡献，为具身智能在复杂情况的可解释性提供了坚实理论和技术基础,综述,,https://arxiv.org/pdf/2505.05108?,王森,,
















Characterizing Physical Adversarial Attacks on Robot Motion Planners,24.01,Wenxi Wu,KCL,Wenxi Wu,KCL,保障,决策规划,Planning,探索对运动规划算法进行对抗攻击的策略,作者特别研究了基于物理环境的攻击，并首次提出对运动规划器的两类攻击方式：“planner failure”（规划失败攻击）；“blindspot”（盲区攻击）,直接与“逻辑规划污染”相关，通过篡改环境或地图数据，使规划模块输出错误甚至危险路径，与主题高度重叠。,物理干预,ICRA 2024,https://kclpure.kcl.ac.uk/ws/portalfiles/portal/248844190/icra2024_motion_planning_attacks.pdf,吴雄斌,行为规划,
Random Spoofing Attack against LiDAR-Based Scan Matching SLAM,24.02,Masashi Fukunaga,Mitsubishi Electric Corporation,Takeshi Sugawara,The University of Electro-Communications,保障,环境感知,SLAM,本文是首次系统评估 LiDAR Scan Matching SLAM 在物理世界下对异步激光欺骗攻击的脆弱性,提出了一个以 Z 轴方向干扰地图构建 为核心的新攻击路径。利用 异步随机激光注入技术（参考 Sato 等人提出的 spoofing 攻击），绕过现代 LiDAR 的随机化机制和距离/角度阈值检测。,这个任务对LiDAR进行攻击，干扰机器人建图，可以误导机器人在行进过程中认为发生了“路面变化”等错误感知。,对抗扰动,VehicleSec 2024,https://www.ndss-symposium.org/ndss-paper/auto-draft-476/,吴雄斌,环境感知,
Manipulating Neural Path Planners via Slight Perturbations,24.03,Zikang Xiong,Purdue University," Suresh Jagannathan",Purdue University,保障,决策规划,Navigation,在神经路径规划器中植入后门攻击,本文提出一种新颖方法，用于定义并注入多种隐藏恶意行为（即后门）到神经路径规划器中。这些后门可以通过微小扰动触发，即使这种扰动很小，也能严重破坏路径规划器的完整性和可靠性。,它展示了如何有意识地污染路径规划器的行为逻辑，攻击者不仅能隐藏恶意目标，还能通过极其隐蔽的触发方式（如一个“看不见”的物体）来激活它，是典型的策略级攻击，具备极强隐蔽性与威胁性。,"adversarial attack, Backdoor Attack",,https://arxiv.org/pdf/2403.18256,吴雄斌,行为规划,
A Survey on Adversarial Robustness of LiDAR-based Machine Learning Perception in Autonomous Vehicles,24.11,Junae Kim,,,,保障,环境感知,survey,这篇综述性论文聚焦于对抗性机器学习（AML）与自动驾驶系统的交叉研究领域，并特别关注基于 LiDAR 的感知系统。,作者全面地梳理了相关威胁图谱，包括针对传感器的网络攻击，以及对模型输入的对抗扰动（如伪造点云、图像扰动等）。此外，文章还探讨了当前应对这些威胁的防御策略。,本文谈到了对抗性机器学习对基于LiDAR的感知系统的威胁，梳理了相关威胁的突破，包括针对传感器的网络攻击，并且探讨了一些防御策略。,综述,,https://arxiv.org/pdf/2411.13778v1,吴雄斌,环境感知,
Exploring the Adversarial Vulnerabilities of Vision-Language-Action Models in Robotics,24.11,Taowen Wang,Rochester Institute of Technology,Ruixiang Tang,Rutgers University,保障,决策规划,VLA,系统性评估 VLA 系统的鲁棒性，找出其在面对对抗性攻击时的脆弱点。,"提出三类攻击目标：（a）UADA, UPA, 利用空间分布上的干扰，打乱原有动作策略，典型如使机械臂轨迹震荡或偏离。（b）TMA 精确控制轨迹偏移，例如让机器人“原地绕圈”、“误抓物体”、“冲撞障碍物”等。",这篇文章探究了如何在机器臂操纵层面进行攻击，让运动轨迹发生偏移或者振荡,VLA,,https://arxiv.org/pdf/2411.13587,吴雄斌,控制层面的攻击,
Adversarial Attacks and Detection in Visual Place Recognition for Safer Robot Navigation,25.01,Connor Malone,Queensland University of Technology,Michael Milford,Queensland University of Technology,保障,环境感知,Visual Place Recognition,独立运行的视觉定位系统（VPR，Visual Place Recognition）缺乏有效的对抗攻击防御机制。在机器人导航任务中，这种脆弱性可能导致严重后果（例如走错路、撞上障碍等）。这说明当前VPR系统虽有定位能力，但安全性与鲁棒性不足。,研究了四种通用的对抗攻击和四种为VPR场景设计的新攻击方式。然后研究它们对VPR性能的影响。而且进一步引入了主动防御。,这篇文章主要完成的是对视觉导航的攻击，能够让机器人错误地识别目标，从而走错路甚至撞墙。属于对机器人感知的控制。,"adversarial attack, Defence",IROS 2025,https://arxiv.org/pdf/2506.15988,吴雄斌,环境感知,
Optimal Actuator Attacks on Autonomous Vehicles Using Reinforcement Learning ,25.02,Pengyu Wang,HKUST,Ling Shi,HKUST,保障,物理交互,Auto Drive,如何设计一种更隐蔽、更具破坏性的执行器FDI攻击策略，用于 非线性自动驾驶系统。如何设计一个 泛化能力更强的安全控制器，可在多种攻击情境下保持系统安全,提出了一种面向非线性系统的最优执行器FDI攻击策略。设计了一个泛化能力更强的安全控制器,这篇文章是FDI攻击策略让自动驾驶汽车物理上偏移了轨迹。,强化学习,,https://arxiv.org/pdf/2502.07839,吴雄斌,物理交互,
SLAMSpoof: Practical LiDAR Spoofing Attacks on Localization Systems Guided by Scan Matching Vulnerability Analysis,25.02,Rokuto Nagata,Amano Institute of Technology,Kentaro Yoshioka,Amano Institute of Technology,保障,环境感知,"Auto Drive, Navigation",LiDAR 容易受到 伪造激光信号（spoofing）攻击，攻击者可用激光覆盖真实扫描，从而操控车辆感知错误的环境。,"1. 提出 SLAMSpoof：首个可实用的 LiDAR 定位欺骗攻击系统。2.提出 SLAMSpoof：首个可实用的 LiDAR 定位欺骗攻击系统。3. 对抗策略探讨,提出了一些 潜在防御方法（countermeasures），例如多传感器融合、激光源认证等
",这篇文章主要探讨了伪造激光攻击对传感器的影响，从而使机器人错误感知环境，属于传感器欺诈。,"Point-Wise SMVS, Frame-Wise SMVS",,https://arxiv.org/html/2502.13641v1,吴雄斌,环境感知,
Towards Robust and Secure Embodied AI: A Survey on Vulnerabilities and Attacks,25.02,WENPENG XING,ZJU,MENG HAN,ZJU,保障,"物理交互, 环境感知",survey,对执行器相关的安全威胁建模、攻击路径分类、关键挑战识别等方面的系统性总结。,提出多层次防御建议，从感知层到控制层，涵盖硬件信任链、防御算法、冗余机制等；,这篇文章定义了固件和固件攻击。固件是电机控制器、传感器驱动器、通信模块等低层硬件的重要组成。一旦攻击者控制了这些组件的固件，就能在物理层面操控整个系统：修改电机速度、引入延迟、随意启停执行器，甚至改变控制协议。,综述,,https://arxiv.org/pdf/2502.13175,吴雄斌,物理交互,
