标题,文章简称,\cite{},发表年月,10大原则,4个阶段,一作,一作单位,通讯,通讯单位,具身任务,方法论,发表情况,链接,备注/讨论点,父记录
Safety Control of Service Robots with LLMs and Embodied Knowledge Graphs,Qi et al. ,qi2024safety,24.05,可信-准确,决策规划,Yong Qi,陕西科技大学,,,"Manipulation, Planning","LLM, Prompt, Knowledge Graph",,https://arxiv.org/pdf/2405.17846,,
Safety assurances for human-robot interaction via confidence-aware game-theoretic human models,Tian et al.,tian2022safety,21.1,可信-可控,决策规划,,,,,,,,,,
"SnapMem: Snapshot-based 3D Scene Memory for
Embodied Exploration and Reasoning",SnapMem,yangSnapMemSnapshotbased3D2024,24.11,可信-准确,决策规划,Yuncong Yang,UMass Amherst,,,,,,https://arxiv.org/html/2411.17735v1,,
"Thinking in Space:
How Multimodal Large Language Models See, Re-
member, and Recall Spaces",Thinking in Space,yangThinkingSpaceHow2025,24.12,可信-准确,决策规划,Jihan Yang,NYU,,,,,,https://arxiv.org/pdf/2412.14171,,
Trust-aware motion planning for human-robot collaboration under distribution temporal logic specifications,Yu et al.,yu2024trust,23.1,可信-可控,决策规划,,,,,,,,,,
Uncertainty in Action: Confidence Elicitation in Embodied Agents,Yu et al. ,yu2025uncertainty,25.03,可信-可靠,决策规划,Tianjiao Yu,UIUC,,,"Planning, VLN",不确定度,,https://arxiv.org/abs/2503.10628,关键词：置信度,
VLM-Social-Nav: Socially Aware Robot Navigation through Scoring using Vision-Language Models,VLM-Social-Nav,song2024vlm,24.11,可信-可控,决策规划,,,,,,,,,,
Who’s in Charge Here? A Survey on Trustworthy AI in Variable Autonomy Robotic Systems,Methnani et al.,methnani2024s,24.04,"可信-可控, 安全-价值对齐","决策规划, 指令理解",Leila Methnani,UmU,,,"survey, Auto Drive",理论框架,,https://dl.acm.org/doi/pdf/10.1145/3645090,,
6-DOF Grasping for Target-driven Object Manipulation in Clutter," Collision-
Net",murali20206,19.12,可信-可靠,物理交互,Adithyavairavan Murali,NVIDIA,,,,,,https://arxiv.org/abs/1912.03628,,
A Review of Future and Ethical Perspectives of Robotics and AI,Torrensen（2018）,torresen2017review,18.1,"安全-隐私可保护, 安全-价值对齐",物理交互,Jim Torresen,University of Oslo,Jim Torresen,University of Oslo,"survey, Manipulation","survey, 理论框架",,https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2017.00075/full,,
A Secure Robot Learning Framework for Cyber Attack Scheduling and Countermeasure,Wu et al.,wu_secure_2023,23.06,安全-防滥用,物理交互,Chengwei Wu,HIT,Ligang Wu,HIT,,,TRO 2023,https://ieeexplore.ieee.org/document/10144090,物理交互的攻防问题,
AdvGrasp: Adversarial Attacks on Robotic Grasping from a Physical Perspective,AdvGrasp,wang_advgrasp_2025,25.07,安全-抗攻击,物理交互,Xiaofei Wang,USTC,Yunbo Zhao；Keke Tang,"USTC, Guangzhou University",Grasp,"adversarial attack, 模拟退火算法",,https://arxiv.org/pdf/2507.09857,物理交互,
Contact-GraspNet: Efficient 6-DoF Grasp Generation in Cluttered Scenes,Contact-GraspNet,sundermeyer2021contact,21.05,可信-可靠,物理交互,Martin Sundermeyer,NVIDIA,,,,,,https://arxiv.org/abs/2103.14127,,
"Controllability, Observability, Realizability, and Stability of Dynamic Linear Systems",Davis et al.,davis_controllability_2009,9.01,可信-可控,物理交互,John M. Davis,,,,,,,,,
Denoising diffusion probabilistic models,DDPM,ho2020denoising,20.06,可信-可靠,物理交互,Jonathan Ho,UCB,,,,,,https://arxiv.org/pdf/2006.11239,,
Dex-NeRF: Using a Neural Radiance Field to Grasp Transparent Objects,Dex-NeRF,ichnowski2022dex,21.1,可信-可靠,物理交互,Jeffrey Ichnowski,UCB,,,,,,https://arxiv.org/pdf/2110.14217,,
Diffusion Policy: Visuomotor Policy Learning via Action Diffusion,Diffusion Policy,chi2023diffusion,23.03,可信-可靠,物理交互,Cheng Chi,Columbia University,,,,,,https://arxiv.org/abs/2303.04137,,
Disability 4.0: bioethical considerations on the use of embodied artificial intelligence,Disability 4.0,demicco2024disability,24.08,安全-隐私可保护,物理交互,,,,,,,,,,
Form2Fit: Learning Shape Priors for Generalizable Assembly from Disassembly,Form2Fit,zakka2020form2fit,19.1,可信-可靠,物理交互,Kevin Zakka,Stanford University,,,,,,https://arxiv.org/pdf/1910.13675,,
From LLMs to Actions: Latent Codes as Bridges in Hierarchical Robot Control,LCB,shentu2024llmsactionslatentcodes,24.05,可信-可靠,物理交互,,,,,,,,,,
Hierarchical Diffusion Policy for Kinematics-Aware Multi-Task Robotic Manipulation,HDP,ma2024hierarchical,24.03,可信-可靠,物理交互,Xiao Ma,Dyson Robot Learning Lab,,,,,,https://arxiv.org/pdf/2403.03890,,
"Humanoid Robots in Tourism and Hospitality—Exploring Managerial, Ethical, and Societal Challenges",Skubis et al.,skubis2024humanoid,24.12,"安全-隐私可保护, 安全-价值对齐",物理交互,Ida Skubis,Silesian University of Technology,Agata Mesjasz-Lech,Czestochowa University of Technology,survey,survey,,https://www.mdpi.com/2076-3417/14/24/11823,,
Look before you leap: Unveiling the power of gpt-4v in robotic vision-language planning,ViLa,hu2023look,23.11,可信-可靠,物理交互,,,,,,,,,,
On the general theory of control systems,Kalman(1960),kalman_general_1960,1959.12,可信-可控,物理交互,,,,,,,,,,
Optimal Actuator Attacks on Autonomous Vehicles Using Reinforcement Learning ,Wang et al.,wang_optimal_2025,25.02,安全-防滥用,物理交互,Pengyu Wang,HKUST,Ling Shi,HKUST,Auto Drive,强化学习,,https://arxiv.org/pdf/2502.07839,"行为规划, 调整控制量，让注入的控制量能够躲过检测器的检测，又能够成功改变目标的轨迹",
Partmanip: Learning cross-category generalizable part manipulation policy from point cloud observations,Partmanip,geng2023partmanip,23.03,可信-可靠,物理交互,Haoran Geng,CFCS,,,,,,https://arxiv.org/pdf/2303.16958,,
Planning with Diffusion for Flexible Behavior Synthesis,Diffuser,janner2022planning,22.05,可信-可靠,物理交互,,,,,,,,,,
RIC: Rotate-Inpaint-Complete for Generalizable Scene Reconstruction,RIC,kasahara2023ric,23.07,可信-可靠,物理交互,Isaac Kasahara,Samsung AI Center,,,,,,https://arxiv.org/pdf/2307.11932,,
Robust Humanoid Locomotion Using Trajectory Optimization and Sample-Efficient Learning,Yeganegi et al.,yeganegi_robust_2019,19.07,安全-抗攻击,物理交互,,,,,,,,,,
Robust Push Recovery on Bipedal Robots: Leveraging Multi-Domain Hybrid Systems with Reduced-Order Model Predictive Control,Dai et al.,dai_robust_2025,25.04,安全-抗攻击,物理交互,Min Dai,,,,,,,,,
Se (3)-diffusionfields: Learning smooth cost functions for joint grasp and motion optimization through diffusion,Se (3)-diffusionfields,urain2023se,23.07,可信-可靠,物理交互,Julen Urain;Niklas Funk,Technische Universitat Darmstadt (Germany),,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10161569,,
SkillDiffuser: Interpretable Hierarchical Planning via Skill Abstractions in Diffusion-Based Task Execution,SkillDiffuser,liang2023skilldiffuser,23.12,可信-可靠,物理交互,,,,,,,,,,
TransCG: A Large-Scale Real-World Dataset for Transparent Object Depth Completion and a Grasping Baseline,Fang et al.,fang2022transcg,22.02,可信-可靠,物理交互,Hongjie Fang,SJTU,,,,,,https://arxiv.org/abs/2202.08471,,
Vision-Language-Action Model and Diffusion Policy Switching Enables Dexterous Control of an Anthropomorphic Hand,,pan2024visionlanguageactionmodeldiffusionpolicy,24.1,可信-可靠,物理交互,Cheng Pan,Swiss Federal Institute of Technology Lausanne,,,,,,,,
A Framework for Benchmarking and Aligning Task-Planning Safety in LLM-Based Embodied Agents,,,25.04,,,Yuting Huang,USTC,Mingxiao Ma; Yanyong Zhang,USTC,Planning,"指令微调, LLM, VirtualHome, Benchmark",,https://arxiv.org/abs/2504.14650,,
A Survey of Embodied Learning for Object-Centric Robotic Manipulation ,,,,,,,,,,survey,survey,,https://arxiv.org/pdf/2408.11537,,
A Survey of Robotic Navigation and Manipulation with Physics Simulators in the Era of Embodied AI,,,,,,,,,,survey,survey,,https://arxiv.org/pdf/2505.01458,,
A Survey of Safe Reinforcement Learning and Constrained MDPs: A Technical Survey on Single-Agent and Multi-Agent Safety,,,,,,,,,,,,,,,
A Survey on Bias and Fairness in Machine Learning,,,,,,,,,,,,,https://arxiv.org/abs/1908.09635,,
Agentic Robot: A Brain-Inspired Framework for Vision-Language-Action Models in Embodied Agents,,,25.05,,,Zhejian Yang,Jiling University,,,VLA,MLLM,,https://arxiv.org/abs/2505.23450,,
AgiBot World Colosseo: Large-scale Manipulation Platform for Scalable and Intelligent Embodied Systems,,,25.03,,," Team AgiBot-World","HKU,  OpenDriveLab"," Team AgiBot-World","HKU,  OpenDriveLab","Manipulation, VLA","MLLM, Diffusion, 预训练, 指令微调",,https://arxiv.org/abs/2503.06669,,
"Building Trustworthy AI: Transparent AI 
Systems via Language Models, Ontologies, and 
Logical Reasoning (TranspNet)",,,24.12,,,Fadi Al Machot,Norwegian University of Life Science,,,LLM Reasoning,LLM,,https://arxiv.org/html/2411.08469v1,,
CAN WE TRUST EMBODIED AGENTS? EXPLORING BACKDOOR ATTACKS AGAINST EMBODIED LLM-BASED DECISION-MAKING SYSTEMS,,,24.05,,,Ruochen Jiao; Shaoyuan Xie,"Northwestern University , University of California",Ruochen Jiao; Shaoyuan Xie,"Northwestern University, University of California",VLA,"adversarial attack, VLA",ICLR 2025,https://arxiv.org/pdf/2405.20774,"决策规划,环境感知",
CLiViS: Unleashing Cognitive Map through Linguistic-Visual Synergy for Embodied Visual Reasoning ,,,25.06,,,Kailing Li,ECNU,,,EQA(2D),MLLM,,https://arxiv.org/pdf/2506.17629,,
Counterfactual collaborative reasoning,Ji et al.,ji2023counterfactual,23.06,,,Jianchao Ji,Rutgers University,,,,,,https://arxiv.org/pdf/2307.00165,,
Demystifying Embodied AI ,,,25.01,,,Sunil Sable,Vishwakarma Institute of Technology,S. Sable ,Vishwakarma Institute of Technology,survey,survey,,https://link.springer.com/chapter/10.1007/978-3-031-68256-8_2,,
DialFRED: Dialogue-Enabled Agents for Embodied Instruction Following,DialFRED,gao2022dialfred,22.07,可信-准确,,Xiaofeng Gao,UCLA,,,EQA(2D),"Benchmark, 强化学习","IEEE Robotics and Automation Letters, 2022",https://arxiv.org/abs/2202.13330,关键词：指令对话,
" Diffusion Models for Robotic Manipulation: A Survey",,,,,,,,,,survey,survey,,https://arxiv.org/pdf/2504.08438,,
Earbench: Towards evaluating physical risk awareness for task planning of foundation model-based embodied ai agents,,,24.08,,,Zihao Zhu,CUHK-sz,Baoyuan Wu,CUHK-sz,Planning,"Benchmark, Prompt, LLM",,https://arxiv.org/abs/2408.04449,可能是最早的具身大脑的安全bench,
"Embodied AI with Two Arms: Zero-shot Learning, Safety and Modularity",,,,,,,,,,,,IROS,https://ieeexplore.ieee.org/abstract/document/10802181,,
"Embodied Agent Interface: Benchmarking LLMs for 
Embodied Decision Making",,,24.1,,,"Manling Li,Shiyu Zhao,Qineng Wang,Kangrui Wang,Yu Zhou",Stanford University,,,Planning,"LLM, Benchmark",,https://arxiv.org/abs/2410.07166,,
Embodied artificial intelligence in ophthalmology,,,25.06,,,Yao Qiu,The Hong Kong Polytechnic University,Mingguang He,The Hong Kong Polytechnic University,survey,survey,Nature子刊npj | digital medicine,https://www.nature.com/articles/s41746-025-01754-4.pdf,,
"Embodied-Reasoner: Synergizing Visual Search, Reasoning, and Action for Embodied Interactive Tasks",,,25.03,,,Wenqi Zhang,ZJU,,,"Planning, VLN","LLM, 迭代式交互",,https://arxiv.org/abs/2503.21696,,
Embracing the Future: Navigating the Challenges and Solutions in Embodied Artificial Intelligence ,,,25.01,,,Wasim Khan,Koneru Lakshmaiah Education Foundation,W. Khan,Koneru Lakshmaiah Education Foundation,survey,"survey, 理论框架",,https://link.springer.com/chapter/10.1007/978-3-031-68256-8_13,,
Empowering Autonomous Driving with Large Language Models: A Safety Perspective,,,23.12,,,,,,,Auto Drive,,,,,
Ethical and regulatory challenges of AI technologies in healthcare: A narrative review,,,24.02,,,Ciro Mennella,ICAR,Umberto Maniscalco,ICAR,survey,survey,,https://www.cell.com/heliyon/fulltext/S2405-8440(24)02328-4,,
Everyday Object Meets Vision-and-Language Navigation Agent via Backdoor,,,24.11,,,Keji He,SDU,Liang Wang,自动化所,VLN,"指令微调, MLLM",NeurIPS 2024,https://openreview.net/forum?id=rXGxbDJadh&referrer=%5Bthe%20profile%20of%20Keji%20He%5D(%2Fprofile%3Fid%3D~Keji_He1),,
Explainable Embodied Agents Through Social Cues: A Review,,,21.07,,,SEBASTIAN WALLKÖTTER,Uppsala University and INESC-ID-Instituto Superior Técnico,,,survey,survey,ACM Transactions on Human-Robot Interaction,https://dl.acm.org/doi/abs/10.1145/3457188,,
Exploring Adversarial Obstacle Attacks in Search-based Path Planning for Autonomous Mobile Robots,,,25.04,,,Adrian Szvoren;,UCL,Dimitrios Kanoulas; Nilufer Tuptuk,UCL,Navigation,brute-force algorithm,,https://arxiv.org/pdf/2504.06154,行为规划,
Exploring the Adversarial Vulnerabilities of Vision-Language-Action Models in Robotics,,,24.11,,,Taowen Wang,Rochester Institute of Technology,Ruixiang Tang,Rutgers University,VLA,"VLA, adversarial attack",,https://arxiv.org/pdf/2411.13587,patch攻击,
FP3: A 3D Foundation Policy for Robotic Manipulation,,,25.03,,," Rujia Yang, Geng Chen","THU, PJLAB, UC San Diego","Chuan Wen, Yang Gao","THU, PJLAB, Shanghai Qi Zhi Institute",Manipulation,"Diffusion, Transformer, 指令微调, 预训练",,https://arxiv.org/pdf/2503.08950,,
Gripper Keypose and Object Pointflow as Interfaces for Bimanual Robotic Manipulation,,,25.04,,,Yuyin Yang; Zetao Cai,"FDU, ZJU, PJLAB",Jiangmiao Pang,PJLAB,"Manipulation, VLA","Diffusion, 预训练",,https://arxiv.org/abs/2504.17784,,
HAMSTER: Hierarchical Action Models For Open-World Robot Manipulation,,,25.05,,,"Yi Li, Yuquan Deng, Jesse Zhang","NVIDIA, University of Washington, University of Southern California","Anqi Li, Abhishek Gupta, Ankit Goyal","NVIDIA, University of Washington",Manipulation,"MLLM, 模仿学习, 离线学习, 指令微调, 预训练, 规划算法",,https://arxiv.org/pdf/2502.05485,,
HASARD: A Benchmark for Vision-Based Safe Reinforcement Learning in Embodied Agents,,,25.03,,,Tristan Tomilin,Eindhoven University of Technology,,,"VLN, Planning",Benchmark,ICLR2025,https://arxiv.org/abs/2503.08241,,
HAZARD Challenge: Embodied Decision Making in Dynamically Changing Environments,,,,,,,,,,,,ICLR2024,,,
IS-Bench: Evaluating Interactive Safety of VLM-Driven Embodied Agents in Daily Household Tasks,IS-Bench,lu2025bench,25.06,可信-准确,,Xiaoya Lu,PJLAB,Jing Shao; Dongrui Liu,PJLAB,Planning,"LLM, COT, Benchmark, OmniGibson模拟器",,https://arxiv.org/abs/2506.16402,,
IndustryEQA: Pushing the Frontiers of Embodied Question Answering in Industrial Scenarios,,,25.05,,,Yifan Li,Michigan State University,Kong Yu,Michigan State University,EQA(2D),"Benchmark, Isaac Sim模拟器",,https://arxiv.org/abs/2505.20640,,
"KARMA: Augmenting Embodied AI Agents
with Long-and-short Term Memory Systems",KARMA,wangKARMAAugmentingEmbodied2025,24.09,,,Zixuan Wang,CASIA,,,,,,https://arxiv.org/pdf/2409.14908,,
Learning Safe Multi-Agent Control with Decentralized Neural Barrier Certificates,,,,,,,,,,,,,,,
"Learning Visually Grounded Domain Ontologies 
via Embodied Conversation and Explanation",Park et al.,park2025learning,25.04,,,Jonghyuk Park,University of Edinburgh,,,视觉理解,Teacher Feedback,AAAI'25,https://ojs.aaai.org/index.php/AAAI/article/view/33573,,
Learning to Explore using Active Neural SLAM,,chaplotLearningExploreUsing2020,20.04,,,Devendra Singh Chaplot,Carnegie Mellon University,,,,,,https://arxiv.org/pdf/2004.05155,,
Legal and Ethical Consideration in Artificial Intelligence in Healthcare: Who Takes Responsibility?,,,22.03,,,Nithesh Naik,Manipal Academy of Higher Education,,,survey,survey,,https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.862322/full?gclid=Cj0KCQi,,
ManipLLM: Embodied Multimodal Large Language Model for Object-Centric Robotic Manipulation ,,,24.06,,,Xiaoqi Li,Peking University,,,VLA,MLLM,CVPR'24,https://openaccess.thecvf.com/content/CVPR2024/papers/Li_ManipLLM_Embodied_Multimodal_Large_Language_Model_for_Object-Centric_Robotic_Manipulation_CVPR_2024_paper.pdf,,
Memory for Robot Navigation,,,,,,,,,,,,,,,
MoManipVLA: Transferring Vision-language-action Models for General Mobile Manipulation,,,25.03,,,Zhenyu Wu,Beijing University of Posts and Telecommunications," Haibin Yan",Beijing University of Posts and Telecommunications,Manipulation,"MLLM, 预训练, 指令微调, 规划算法",,https://arxiv.org/pdf/2503.13446,,
Multi-agent Embodied AI: Advances and Future Directions,,,25.05,,,Zhaohan Feng,Beijing Institute of Technology,,,survey,survey,,https://arxiv.org/pdf/2505.05108?,,
NoisyEQA: Benchmarking Embodied Question Answering Against Noisy Queries,,,24.12,,,Tao Wu,NTU,,,EQA(2D),Benchmark,,https://arxiv.org/abs/2412.10726,关键词：感知噪声,
Position: a call for embodied AI,,,,,,,,,,,,,https://openreview.net/forum?id=e5admkWKgV,,
Provably Safe Deep Reinforcement Learning for Robotic Manipulation in Human Environments,,,,,,,,,,,,ICRA2022,,,
RDT-1B: a Diffusion Foundation Model for Bimanual Manipulation,,,25.03,,," Songming Liu; Lingxuan Wu",THU,Hang Su; Jun Zhu,THU,"Manipulation, VLA","Diffusion, 预训练, MLLM, LLM",,https://arxiv.org/abs/2410.07864,,
Random Spoofing Attack against LiDAR-Based Scan Matching SLAM,,,24.02,,,Masashi Fukunaga,Mitsubishi Electric Corporation,Takeshi Sugawara,The University of Electro-Communications,SLAM,对抗扰动,VehicleSec 2024,https://www.ndss-symposium.org/ndss-paper/auto-draft-476/,环境感知,
RiskAwareBench: Towards Evaluating Physical Risk Awareness for High-level Planning of LLM-based Embodied Agents,,,24.08,,,,,,,,,,https://arxiv.org/pdf/2408.04449v1,EARBench的初版,
RoboBERT: An End-to-end Multimodal Robotic Manipulation Model,,,25.05,,," Sicheng Wang, Sheng Liu, Weiheng Wang","Casbot Robotic Corporation, Karlsruhe Institute of Technology",Bin Fang,Beijing Universuty of Post and Telecommunicate,Manipulation,"MLLM, Diffusion, ViT, 离线学习, 模仿学习, 指令微调, 预训练",,https://arxiv.org/pdf/2502.07837,,
RoboFlamingo-Plus: Fusion of Depth and RGB Perception with Vision-Language Models for Enhanced Robotic Manipulation,,,25.03,,,Xiaojian Li,,Hangjie Mo,,Manipulation,"MLLM, VLM, 预训练, 指令微调",,https://arxiv.org/pdf/2503.19510,,
RoboGround: Robotic Manipulation with Grounded Vision-Language Priors,,,25.04,,,Haifeng Huang; Xinyi Chen,"ZJU, PJLAB",Yilun Chen; ZhouZhao,"PJLAB, ZJU","Manipulation, VLA","LLM, MLLM, 预训练, 指令微调",,https://arxiv.org/abs/2504.21530,,
Safe Bayesian Optimization for the Control of High-Dimensional Embodied Systems,,,24.12,,,Yunyue Wei,THU,Yanan Sui,THU,VA,贝叶斯优化,CoRL2024,https://arxiv.org/pdf/2412.20350,,
Safe multi-agent reinforcement learning for multi-robot control,,,,,,,,,,,,,,,
"Safe, Multi-Agent, Reinforcement Learning for Autonomous Driving",,,,,,,,,,,,,,,
SafeBench: A Benchmarking Platform for Safety Evaluation of Autonomous Vehicles,,,22.06,,,Chejian Xu,UIUC,,,Auto Drive,"Benchmark, ROS",NIPS2022 Track on Datasets and Benchmarks.,https://arxiv.org/pdf/2206.09682,,
SafeEmbodAI: a Safety Framework for Mobile Robots in Embodied AI Systems,,,,,,,,,,,,,https://arxiv.org/pdf/2409.01630,,
Securing Embodied AI: Addressing Cybersecurity Challenges in Physical Systems,,,,,,,,,,,,,https://link.springer.com/chapter/10.1007/978-3-031-68256-8_21,,
Securing the Future: Exploring Privacy Risks and Security Questions in Robotic Systems,,,,,,,,,,,,,,,
"Security Considerations in AI-Robotics:
A Survey of Current Methods,
Challenges, and Opportunities",,,24.01,,,SUBASH NEUPANE,Mississippi State University,Subash Neupane,Mississippi State University,"survey, Manipulation","survey, MLLM",,https://arxiv.org/pdf/2310.08565,,
Shake-VLA: Vision-Language-Action Model-Based System for Bimanual Robotic Manipulations and Liquid Mixing,,,25.01,,,Muhamamd Haris Khan; Selamawit Asfaw,Skoltech,,,"Manipulation, VLA","MLLM, LLM",,https://arxiv.org/abs/2501.06919,,
Situated Instruction Following,SIF,yenamandraHomeRobotOpenVocabularyMobile2024,24.07,,,So Yeon Min,CMU,,,,,,https://arxiv.org/pdf/2407.12061,,
Strategic Planning of Stealthy Backdoor Attacks in Markov Decision Processes,,,25.04,,,Xinyi Wei,UFL,Jie Fu,UFL,Manipulation,强化学习,,https://arxiv.org/pdf/2504.13276,行为规划,
"Subtle Risks, Critical Failures: A Framework for Diagnosing Physical Safety of LLMs for Embodied Decision Making",,,25.05,,,Yejin Son,Yonsei University,Youngjae Yu,Yonsei University,Planning,"LLM, Benchmark",,https://arxiv.org/abs/2505.19933,,
Supersizing Self-supervision: Learning to Grasp from 50K Tries and 700 Robot Hours,,,15.09,,,,,,,Manipulation,,,,,
TLA: Tactile-Language-Action Model for Contact-Rich Manipulation,,,25.03,,," Peng Hao, Chaofan Zhang","Samsung Research China, Institute of Automation,  Chinese Academy of Sciences",,,Manipulation,"MLLM, 模仿学习, 离线学习, 指令微调, 预训练",,https://arxiv.org/pdf/2503.08548,,
"Think Small, Act Big: Primitive Prompt Learning for Lifelong Robot Manipulation",,,25.06,,," Yuanqi Yao, Yan Ding, Siao Liu, Bin Zhao, Haoming Song","PJLAB, FDU, SJTU, INSAIT,  Sofia University"," Dong Wang",PJLAB,Manipulation,"Diffusion, 离线学习",,https://arxiv.org/pdf/2504.00420,,
Towards Explainable Embodied AI,,,21.08,,,Vidhi Jain ,CMU,,,Planning,Feature Atrribution,硕士论文,https://www.ri.cmu.edu/app/uploads/2021/08/MSRoboticsThesis-2.pdf,,
Towards Explainable and Trustworthy Collaborative Robots through Embodied Question Answering,,,22.05,,,Lars Kunze,University of Oxford,,,EQA(2D),Knowledge Graph,,https://ora.ox.ac.uk/objects/uuid:4d8079cb-7633-417d-ba9b-d580aaebff64,,
"Unintended Consequences of Biased Robotic and Artificial Intelligence Systems [Ethical, Legal, and Societal Issues]",,,19.09,,,Ludovic Righetti,NYU,,,survey,理论框架,,https://ieeexplore.ieee.org/document/8825881,,
VLA-Cache: Towards Efficient Vision-Language-Action Model via Adaptive Token Caching in Robotic Manipulation,,,25.02,,,Siyu Xu,USYD," Chang Xu",USYD,Manipulation,"MLLM, 模仿学习, 离线学习, 指令微调",,https://arxiv.org/pdf/2502.02175,,
VLA-RL: Towards Masterful and General Robotic Manipulation with Scalable Reinforcement Learning,,,25.05,,,Guanxing Lu,"Tsinghua Shenzhen International Graduate School,  Tsinghua University",Yansong Tang,"Tsinghua Shenzhen International Graduate School,  Tsinghua University",Manipulation,"MLLM, 强化学习, 模仿学习, 在线学习, 离线学习, 预训练, 指令微调",,https://arxiv.org/pdf/2505.18719,,
VOYAGER: An Open-Ended Embodied Agent with Large Language Models ,,,23.05,,,Guanzhi Wang,NVIDIA,,,Embodied Task,LLM,,https://arxiv.org/pdf/2305.16291,,
World Models: The Safety Perspective,,,,,,,,,,,,,https://ieeexplore.ieee.org/abstract/document/10771431,世界模型安全（用于自动驾驶）,
and Reasoning Over Long-Horizon Spatio-Temporal,,,,,,,,,,,,,,,
iManip: Skill-Incremental Learning for Robotic Manipulation,,,25.03,,," Zexin Zheng",Sun Yat-sen University,,,Manipulation,"ViT, Transformer, 模仿学习, 离线学习, 增量学习",,https://arxiv.org/pdf/2503.07087,,
